Num,Accurate Mass,Neutral Loss,Formula,Charge,Pos,Neg,Ion source,substructue or compound class
91,"91,967",CO+CO+HCl,C2HO2Cl,1,-,-,ESI/APCI,Chloroanthraquinones
92,"91,986",NO2+NO2,N2O4,1,-,-,ESI/APCI,Nitroaromatics
93,"93,960",SO2+NO,NO3S,1,-,+,ESI/APCI,Nitrosulfonic acids
94,"97,977",H3PO4,H3PO4,1,+,-,ESI,Phophates (especially phosphoserine and phosphothreonine)
95,"99,980",CO2+CO+CO,C3O4,1,+,-,ESI/APCI,Anthraquinone carboxylic acids
96,"102,068",HC(=O)OC4H9,C5H10O2,1,+,-,ESI,Butylesters of most amino acids
97,"103,986",NO+NO2+CO,CN2O4,1,+,-,ESI/APCI,Nitroaromatics
98,"105,025",C3H7NOS,C3H7NOS,1,+,-,ESI,Alkylated methionine
99,"107,050",tyrosine side-chain,C7H7O,1,-,+,ESI,Peptides with tyrosyl residue
100,"108,058",tyrosine side-chain+hydrogen,C7H8O,1,+,-,ESI,Peptides with tyrosyl residue
101,"109,011",phenylthio radical,C6H5S,1,+,-,ESI,Phenylthio compounds
102,"111,980",4CO,C4O4,1,+,-,ESI/APCI,Hydroxyanthraquinones
103,"119,981",NO2+NO2+CO,CN2O5,1,+,-,ESI/APCI,Nitroaromatics
104,"120,042",C4H8O4,C4H8O4,1,+,-,ESI,Metal-monosaccharide complexes
105,"121,020",Cystein,C3H7NO2S,1,+,+,ESI/APCI,Cysteine conjugates
106,"123,958",SO2+NO+NO,N2O4S,1,-,+,ESI/APCI,Nitrosulfonic acids
107,"127,912",HI,HI,1,+,-,ESI,Aromatic iodides
108,"129,043",Pyroglutamic acid,C5H7NO3,1,+,-,ESI/APCI,Aliphatic-GSH(glutathione conjugates)
109,"129,043",C5H7NO3,C5H7NO3,1,-,+,ESI/APCI,N-Acetylcysteines
110,"130,063",Anhydro-dideoxyhexose,C6H10O3,1,+,-,ESI,Dideoxyhexoside
111,"132,042",Anhydro-pentose,C5H8O4,1,+,-,ESI,Pentoside
112,"133,984",NO2+NO+NO+CO,CN3O5,1,-,+,ESI/APCI,"Nitroaromatics, trinitrocarboxylic acids"
113,"141,019",C2H8O4NP,C2H8O4NP,1,+,-,ESI,Phosphatidylethanolamines (PE) or Lyso-PE 
114,"146,058",Anhydro-deoxyhexose,C6H10O4,1,+,+,ESI,Deoxyhexoside
115,"146,069",Glutamine,C5H10N2O3,1,+,-,ESI/APCI,Conjugate with gamma-GluCys or glutathione
116,"154,003",C3H7O5P,C3H7O5P,1,+,-,ESI,Lysophosphatidic acids (Lyso-PA)
117,"156,115",HNE,C9H16O2,1,+,-,ESI,4-hydroxy-2-nonenal (HNE)-containing peptides
118,"161,069",Anhydro-aminodeoxyhexose,C6H11NO4,1,+,-,ESI,Aminodeoxyhexoside
119,"162,053",Anhydrohexose,C6H10O5,1,+,-,ESI,Hexoside
